id;name;level;description;type;classe;eco;consum
1;FUNYET Ordinateur Portable 16;1;Nouveau model 80+;80+; cl 80+;AAA;6000 mAh
2;NOTODD 2025 Ordinateur Portable 14 Pouces;2;Nouveau model 80+;80+; cl 80+;AAA;5 000 mAh
3;FUNYET Ordinateur Portable 14,1;2;Nouveau model 80+;80+; cl 80+;AAA;5000 mWh
4;Acer Aspire 3 A317-55P-C8DB;2;Nouveau model 80+;80+; cl 80+;AAA;NA
5;Ordinateur Portable 16 Pouces Core i3-1000NG4;2;Nouveau model 80+;80+; cl 80+;EEE;450W
6;Acer Chromebook 314 CBOA314-1H-C8XY;2;Nouveau model 80+;80+; cl 80+;AAA;NA
7;BNCF 11 Intel N150 2-in-1 Laptops;2;Nouveau model 80+;80+; cl 80+;AAA;NA
8;2025 Newest Ordinateur Portable Gaming 16 Pouces;2;Nouveau model 80+;80+; cl 80+;AAA;NA
9;Acer Aspire 1 A115-32-C3AK Ordinateur Portable 15,6;2;Nouveau model 80+;80+; cl 80+;AAA;NA
10;PINSTONE 14'' HD Ordinateur Portable;2;Nouveau model 80+;80+; cl 80+;AAA;NA
11;Lenovo (FullHD 15,6 Zoll Ordinateur Portable;2;Nouveau model 80+;80+; cl 80+;AAA;NA
12;NOTODD Ordinateur PC Portable 14 Pouces;2;Nouveau model 80+;80+; cl 80+;AAA;NA
13;FUNYET Ordinateur Portable 16;2;Nouveau model 80+;80+; cl 80+;AAA;NA
14;Lenovo (FullHD 15,6 Zoll Ordinateur Portable;2;Nouveau model 80+;80+; cl 80+;AAA;NA
