id;name;level;description;type;classe;eco;consum
1;Test 1 PC;1;Nouveau model 80+;80+; cl 80+;AAA;350W
2;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
3;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
4;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
5;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
6;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
7;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
8;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
9;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
10;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
11;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
12;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
13;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
14;Test 1 PC;2;Nouveau model 80+;80+; cl 80+;AAA;450W
