id;name;level;description;type;classe;eco;consum
1;One plus smartphone;1;Android 15;Portable; Octa-Core;AAA;5200mAH
2;OUKITEL C61 Pro smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
3;DOOGEE Note 58 Pro smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
4;UMIDIGI Note 100 smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
5;UMIDIGI A15C smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
6;Apple iPhone 15 (128 Go) - Rose;2;IOS 18;Portable; Octa-Core;AAA;6250mAH
7;Apple iPhone 16 (128 Go) - Rose;2;IOS 18;Portable; Octa-Core;AAA;6250mAH
8;Microsoft Lumia 550 Smartphone débloqué 4G;2;Windows Phone;Portable; Octa-Core;AAA;NA
9;Microsoft Lumia 950 XL;2;Windows Phone;Portable; Octa-Core;AAA;NA
10;OnePlus smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
11;Xiaomi Redmi A5 smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
12;Xiaomi Redmi A5 smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
13;Xiaomi Redmi 14C smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
14;Xiaomi Redmi A5 smartphone;2;Android 15;Portable; Octa-Core;AAA;5200mAH
15;DOOGEE Note 58 Pro smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
16;Samsung Galaxy A06 smartphone;2;Android 15;Portable; Octa-Core;AAA;6250mAH
17;HONOR Smartphone X6B smartphone;2;Android 15;Portable; Octa-Core;AAA;5200mAH
18;UMIDIGI G9C smartphone;2;Android 14;Portable; Octa-Core;AAA;5000mAH
